date,TAVG:1:,TMAX:1:,TMIN:1:,PRCP:1:,SMS:1:-2,SMS:1:-4,SMS:1:-8,SMS:1:-20,SMS:1:-40,STO:1:-2,STO:2:-2,STO:1:-4,STO:2:-4,STO:1:-8,STO:2:-8,STO:1:-20,STO:2:-20,STO:1:-40,STO:2:-40,WDIRV:1:,WSPDV:1:,RHENC:1:
2013-07-26,67.8,94.1,40.8,,13.0,16.4,24.4,33.0,41.7,72,72,76,75,74,74,68,68,63,63,124,3.1,22
2013-07-27,65.1,85.1,43.2,0.0,12.6,16.5,24.5,33.0,40.5,71,71,74,74,73,74,68,68,63,63,292,4.6,20
2013-07-29,62.4,85.1,37.6,0.0,12.0,16.2,24.5,33.0,40.7,71,72,74,74,73,73,68,68,63,63,341,2.2,22
2013-07-30,65.1,87.4,43.9,0.0,11.6,16.5,24.5,32.8,40.4,71,71,74,74,73,73,68,68,64,64,336,2.7,22
2013-07-31,70.3,90.3,43.9,0.0,11.2,16.0,24.2,32.8,40.8,71,71,73,73,72,72,68,68,64,64,8,4.4,21
2013-08-01,60.6,75.2,46.0,0.11,11.5,15.6,23.7,32.9,41.7,65,65,67,67,68,68,67,68,64,64,95,4.2,43
2013-08-04,65.3,85.5,44.4,0.0,11.9,16.1,23.8,32.1,42.1,68,68,71,71,70,70,65,65,63,63,128,3.0,43
2013-08-05,67.6,87.4,45.0,0.0,12.0,16.2,24.1,32.9,42.1,70,70,73,73,71,71,66,66,63,63,318,3.3,31
2013-08-06,69.4,91.2,47.1,0.0,11.9,16.4,24.2,32.7,42.1,72,72,75,74,73,73,67,67,63,63,43,2.3,26
2013-08-07,68.0,90.9,44.8,0.0,11.8,16.2,24.0,32.8,41.5,72,72,75,75,73,74,67,68,63,63,327,2.5,23
2013-08-08,69.1,90.9,43.3,0.0,11.3,16.1,24.0,32.6,41.5,73,73,75,75,73,73,68,68,63,63,6,2.8,22
2013-08-09,73.9,93.4,50.9,0.0,11.1,15.7,23.9,32.7,42.3,76,76,77,77,74,74,68,69,64,64,129,2.9,23
2013-08-10,75.2,92.1,53.6,0.0,10.8,15.8,24.3,32.5,41.7,76,76,77,77,75,75,69,69,64,64,313,4.5,25
